team,opendota_id,rank,rating,slug,,tier
"Team Sin Compromiso

1,005",56470,38,5,56470-team-sin-compromiso,,3
diffmakers,56623,39,4,56623-diffmakers,,3
Apex Revenance,56438,40,3,56438-apex-revenance,,3
Apple City Gang,55604,40,3,55604-apple-city-gang,,3
Nouns GG,56439,40,3,56439-nouns-gg,,3
OG,13171,40,3,13171-og,,3
Veritas Friends,56541,40,3,56541-veritas-friends,,3
5BUGPIGPOLE,56016,41,2,56016-5bugpigpole,,3
ASAKURA,52969,41,2,52969-asakura,,3
Azure Ray,49617,41,2,49617-azure-ray,,3
Bikini Bottom,55922,41,2,55922-bikini-bottom,,3
Capy Baras,56008,41,2,56008-capy-baras,,3
End Game,55923,41,2,55923-end-game,,3
Farmadores de Aura,56983,41,2,56983-farmadores-de-aura,,3
GladiatorTeams,56015,41,2,56015-gladiatorteams,,3
Hokori,36637,41,2,36637-hokori,,3
Night Pulse,51546,41,2,51546-night-pulse,,3
Perrito Panzon,56041,41,2,56041-perrito-panzon,,3
RE-RN,56110,41,2,56110-re-rn,,3
Somos Nós a Justiça,56981,41,2,56981-somos-nos-a-justica,,3
Ttgame,56029,41,2,56029-ttgame,,3
White Dragons,55900,41,2,55900-white-dragons,,3
Zone Academy,56032,41,2,56032-zone-academy,,3
Chompers,52242,42,1,52242-chompers,,3
OG.LATAM,56169,42,1,56169-og-latam,,3
Protocol 20,56821,42,1,56821-protocol-20,,3
Roar Gaming,8160,42,1,8160-roar-gaming,,4
Super Funsy,56047,42,1,56047-super-funsy,,4
Yoru Ryodan,55385,42,1,55385-yoru-ryodan,,4
#YOLOSWAGGERS,4308,43,0,4308-yoloswaggers,,4
.A2,2173,43,0,2173-a2,,5
.nWa# - Team,1416,43,0,1416-nwa-team,,5
"0wneD

1,000",4558,43,0,4558-0wned,,5
"2moscow3lol

1,000",2460,43,0,2460-2moscow3lol,,5
"31

1,000",5099,43,0,5099-31,,5
"4 Noobs 1 Whining

1,000",3494,43,0,3494-4-noobs-1-whining,,5
"4 The Victory

1,000",3017,43,0,3017-4-the-victory,,5
"5 Kappa Stack

1,000",6236,43,0,6236-5-kappa-stack,,5
"5 Man Dodo

1,000",5081,43,0,5081-5-man-dodo,,5
"5.15.12

1,000",2298,43,0,2298-5-15-12,,5
"5friends

1,000",4130,43,0,4130-5friends,,5
"5upper5star5

1,000",6463,43,0,6463-5upper5star5,,5
"7 Minute Flying

1,000",4411,43,0,4411-7-minute-flying,,5
"[GoHOME]

1,000",2621,43,0,2621-gohome,,5
"[InvaderS]

1,000",5981,43,0,5981-invaders,,5
"[ONE PRO]

1,000",3996,43,0,3996-one-pro,,5
"[sNg]

1,000",4899,43,0,4899-sng,,5
"[Swarog]

1,000",5331,43,0,5331-swarog,,5
"[vn]DNA

1,000",3287,43,0,3287-vn-dna,,5
"^-OSiRIS E-Sport-^

1,000",2997,43,0,2997-osiris-e-sport,,5
"^||NOOB-HUNTERZ||^

1,000",4990,43,0,4990-noob-hunterz,,5
"_imMortal_Raks_

1,000",5388,43,0,5388-immortal-raks,,5
"`Dead or Alive

1,000",5730,43,0,5730-dead-or-alive,,5
"`Viceversa

1,000",6433,43,0,6433-viceversa,,5
"A

1,000",3408,43,0,3408-a,,5
"Abang Gay

1,000",6192,43,0,6192-abang-gay,,5
"Abiii Gaming

1,000",6238,43,0,6238-abiii-gaming,,5
"ABLE

1,000",6024,43,0,6024-able,,5
"Absolute Domination

1,000",4600,43,0,4600-absolute-domination,,5
"Abysinya crew

1,000",5322,43,0,5322-abysinya-crew,,5
"Active NI

1,000",5568,43,0,5568-active-ni,,5
"Addicted To Winning

1,000",3044,43,0,3044-addicted-to-winning,,5
"adventure-time

1,000",3488,43,0,3488-adventure-time,,5
"Aeroplane

1,000",5707,43,0,5707-aeroplane,,5
"AEsir E-sports

1,000",3837,43,0,3837-aesir-e-sports,,5
"afa

1,000",3611,43,0,3611-afa,,5
"Afgan Tresh

1,000",5325,43,0,5325-afgan-tresh,,5
"Afrikan mans

1,000",6140,43,0,6140-afrikan-mans,,5
"AG.Six

1,000",3010,43,0,3010-ag-six,,5
"Against all Assholes

1,000",2687,43,0,2687-against-all-assholes,,5
"AGGRESSIVE

1,000",2636,43,0,2636-aggressive,,5
"AID

1,000",6131,43,0,6131-aid,,5
"AIMS

1,000",5175,43,0,5175-aims,,5
"AirGear

1,000",5044,43,0,5044-airgear,,5
"aLive Old School Gaming Dota

1,000",6019,43,0,6019-alive-old-school-gaming-dota,,5
"All For One

1,000",2474,43,0,2474-all-for-one,,5
"ALLES MORTALEZ

1,000",6046,43,0,6046-alles-mortalez,,5
"Alliance Gaming International

1,000",5179,43,0,5179-alliance-gaming-international,,5
"Almost Perfection

1,000",3384,43,0,3384-almost-perfection,,5
"Alpha Beta Kappa

1,000",4043,43,0,4043-alpha-beta-kappa,,5
"AMAGUE

1,000",4522,43,0,4522-amague,,5
"Amigos del Cannabis

1,000",4084,43,0,4084-amigos-del-cannabis,,5
"Amnesia eSport

1,000",3278,43,0,3278-amnesia-esport,,5
"AmplifyDamage

1,000",2985,43,0,2985-amplifydamage,,5
"Anal Genocide

1,000",4002,43,0,4002-anal-genocide,,5
"Ananse Trickx

1,000",2871,43,0,2871-ananse-trickx,,5
"AnimusVOX

1,000",2823,43,0,2823-animusvox,,5
"anonyMOUZ

1,000",3296,43,0,3296-anonymouz,,5
"AnTGaming

1,000",3215,43,0,3215-antgaming,,5
"Anyone Anywhere Anytime

1,000",6345,43,0,6345-anyone-anywhere-anytime,,5
"Apos mechanes Theos

1,000",4149,43,0,4149-apos-mechanes-theos,,5
"Apple

1,000",2441,43,0,2441-apple,,5
"Aptmen

1,000",2998,43,0,2998-aptmen,,5
"Aqua Regis

1,000",3565,43,0,3565-aqua-regis,,5
"Are you lvl 7 yet

1,000",2935,43,0,2935-are-you-lvl-7-yet,,5
"Arena Gaming

1,000",3788,43,0,3788-arena-gaming,,5
"Art Gaming

1,000",3817,43,0,3817-art-gaming,,5
"arte magnum

1,000",4941,43,0,4941-arte-magnum,,5
"ARTeam

1,000",6428,43,0,6428-arteam,,5
"ASA-Yamot

1,000",5515,43,0,5515-asa-yamot,,5
"asd

1,000",5672,43,0,5672-asd,,5
"asdqweasdasd

1,000",3499,43,0,3499-asdqweasdasd,,5
"AsPID

1,000",2395,43,0,2395-aspid,,5
"aSthma

1,000",3665,43,0,3665-asthma,,5
"ASTON Maarten

1,000",2917,43,0,2917-aston-maarten,,5
"AT-IV

1,000",5415,43,0,5415-at-iv,,5
"Atlas

1,000",4609,43,0,4609-atlas,,5
"Auditorium

1,000",6443,43,0,6443-auditorium,,5
"avalanche

1,000",2257,43,0,2257-avalanche,,5
"AvAloN_SRB

1,000",4587,43,0,4587-avalon-srb,,5
"aVenue.eSports

1,000",2240,43,0,2240-avenue-esports,,5
"Avvesome

1,000",5722,43,0,5722-avvesome,,5
"Awakening.

1,000",2593,43,0,2593-awakening,,5
"Awkward Gaming

1,000",5085,43,0,5085-awkward-gaming,,5
"Axis Bold as Love

1,000",4163,43,0,4163-axis-bold-as-love,,5
"Bad Boy of Minsk

1,000",5041,43,0,5041-bad-boy-of-minsk,,5
"Bad Company

1,000",6130,43,0,6130-bad-company,,5
"Bad Generation

1,000",4754,43,0,4754-bad-generation,,5
"BAD MANNER PK

1,000",5071,43,0,5071-bad-manner-pk,,5
"Bad SS

1,000",6323,43,0,6323-bad-ss,,5
"Badass Krabs

1,000",5265,43,0,5265-badass-krabs,,5
"BadCompany.

1,000",4515,43,0,4515-badcompany,,5
"BagGers

1,000",5715,43,0,5715-baggers,,5
"bajetii

1,000",2387,43,0,2387-bajetii,,5
"Bambas

1,000",5028,43,0,5028-bambas,,5
"BambiFans

1,000",3867,43,0,3867-bambifans,,5
"Bang Team

1,000",3692,43,0,3692-bang-team,,5
"Banned Style

1,000",3746,43,0,3746-banned-style,,5
"Banzai Gaming

1,000",5171,43,0,5171-banzai-gaming,,5
"bara gaining movespeed

1,000",3733,43,0,3733-bara-gaining-movespeed,,5
"Basic gaming Skills

1,000",2300,43,0,2300-basic-gaming-skills,,5
"basota

1,000",5038,43,0,5038-basota,,5
"Bastards Extraordinary Team

1,000",4443,43,0,4443-bastards-extraordinary-team,,5
"Bat to the Future

1,000",5269,43,0,5269-bat-to-the-future,,5
"Batican Vananas

1,000",2278,43,0,2278-batican-vananas,,5
"BAWS

1,000",3532,43,0,3532-baws,,5
"BBPE

1,000",5031,43,0,5031-bbpe,,5
"Bell Girls Gaming

1,000",6331,43,0,6331-bell-girls-gaming,,5
"Bembemboo

1,000",3165,43,0,3165-bembemboo,,5
"BeMyFrag

1,000",5723,43,0,5723-bemyfrag,,5
"BES

1,000",6062,43,0,6062-bes,,5
Big Game Hunters,2272,43,0,2272-big-game-hunters,,5
"BIGBOOTYBITCHES

1,000",3751,43,0,3751-bigbootybitches,,5
"Bing Bang Gaming

1,000",4675,43,0,4675-bing-bang-gaming,,5
"Binuakay

1,000",5563,43,0,5563-binuakay,,5
"Birch team

1,000",4858,43,0,4858-birch-team,,5
"Birds of Hermes

1,000",5024,43,0,5024-birds-of-hermes,,5
"Bitches and Masters

1,000",3108,43,0,3108-bitches-and-masters,,5
"BJB

1,000",5872,43,0,5872-bjb,,5
"Black and White

1,000",2915,43,0,2915-black-and-white,,5
"Black Flame

1,000",2986,43,0,2986-black-flame,,5
"Black Nova

1,000",6275,43,0,6275-black-nova,,5
"Blades Of Chaos

1,000",5552,43,0,5552-blades-of-chaos,,5
"Blink N' Scream PH

1,000",3306,43,0,3306-blink-n-scream-ph,,5
"BlitZ Dota 2

1,000",2397,43,0,2397-blitz-dota-2,,5
"BlitZ.Dota2

1,000",2826,43,0,2826-blitz-dota2,,5
"Bloodlust Gaming

1,000",4566,43,0,4566-bloodlust-gaming,,5
"BloodLust`

1,000",5135,43,0,5135-bloodlust,,5
"BloodPact

1,000",5946,43,0,5946-bloodpact,,5
"bls

1,000",3064,43,0,3064-bls,,5
"BlueDevils

1,000",6051,43,0,6051-bluedevils,,5
"boboriki

1,000",1321,43,0,1321-boboriki,,5
"bobrodav

1,000",1322,43,0,1322-bobrodav,,5
"bOoM Olympic

1,000",6373,43,0,6373-boom-olympic,,5
"Boppin' Elites Company

1,000",5581,43,0,5581-boppin-elites-company,,5
"Borodi Shmotok ili Kysok 4ervia

1,000",5753,43,0,5753-borodi-shmotok-ili-kysok-4ervia,,5
"Bosphorus Gate

1,000",2444,43,0,2444-bosphorus-gate,,5
"Brazil Army

1,000",3065,43,0,3065-brazil-army,,5
"Brazil5-Monsters

1,000",2563,43,0,2563-brazil5-monsters,,5
"Brest Doters

1,000",5934,43,0,5934-brest-doters,,5
"Brother of Borneo

1,000",4282,43,0,4282-brother-of-borneo,,5
"Brotherhood Team

1,000",4199,43,0,4199-brotherhood-team,,5
"Bubuieci

1,000",6280,43,0,6280-bubuieci,,5
"Bugagashechki

1,000",3718,43,0,3718-bugagashechki,,5
"Bullet in Time

1,000",3717,43,0,3717-bullet-in-time,,5
"Burning Enemy

1,000",3358,43,0,3358-burning-enemy,,5
"BVM

1,000",2789,43,0,2789-bvm,,5
"byakurentai

1,000",2828,43,0,2828-byakurentai,,5
"BYOC team

1,000",4211,43,0,4211-byoc-team,,5
"CAML

1,000",4437,43,0,4437-caml,,5
"Can't Undo Naughty Thoughts

1,000",3486,43,0,3486-can-t-undo-naughty-thoughts,,5
"Cancers

1,000",5076,43,0,5076-cancers,,5
"CannaBoys

1,000",3099,43,0,3099-cannaboys,,5
"Cant Be Touched

1,000",3086,43,0,3086-cant-be-touched,,5
"Cap of tea

1,000",6104,43,0,6104-cap-of-tea,,5
"CAPITAN'S STARFLEET

1,000",3739,43,0,3739-capitan-s-starfleet,,5
"CapsuLe

1,000",3699,43,0,3699-capsule,,5
"Captain Peters Männer

1,000",5017,43,0,5017-captain-peters-manner,,5
"Carpe Diem

1,000",2615,43,0,2615-carpe-diem,,5
"Carpe Diem Team

1,000",3695,43,0,3695-carpe-diem-team,,5
"Catalyst

1,000",4839,43,0,4839-catalyst,,5
"CAXAS GAMING

1,000",5794,43,0,5794-caxas-gaming,,5
"CAZZO

1,000",6212,43,0,6212-cazzo,,5
"Celestial Guardians

1,000",6277,43,0,6277-celestial-guardians,,5
"Center of Gravity

1,000",5130,43,0,5130-center-of-gravity,,5
"Champions League

1,000",2809,43,0,2809-champions-league,,5
"ChangSha Dota League

1,000",4768,43,0,4768-changsha-dota-league,,5
"Character's Victory

1,000",3571,43,0,3571-character-s-victory,,5
"Che

1,000",4266,43,0,4266-che,,5
"Chen School

1,000",4620,43,0,4620-chen-school,,5
"Chibirin

1,000",3927,43,0,3927-chibirin,,5
"Chicharon Gaming

1,000",5488,43,0,5488-chicharon-gaming,,5
"Chicken Schicken

1,000",3243,43,0,3243-chicken-schicken,,5
"Children of Kingsize

1,000",4976,43,0,4976-children-of-kingsize,,5
"Chill-Out

1,000",5072,43,0,5072-chill-out,,5
"Choice

1,000",4724,43,0,4724-choice,,5
"Chorizo Party

1,000",4101,43,0,4101-chorizo-party,,5
"Chosew'Few

1,000",4060,43,0,4060-chosew-few,,5
"cire_aerials

1,000",3518,43,0,3518-cire-aerials,,5
"Clan Base

1,000",5434,43,0,5434-clan-base,,5
"Clan Dream

1,000",5225,43,0,5225-clan-dream,,5
"CmG

1,000",3510,43,0,3510-cmg,,5
"Co Do Hue

1,000",5574,43,0,5574-co-do-hue,,5
"Cobra

1,000",3298,43,0,3298-cobra,,5
"Cobra Kais IN

1,000",5663,43,0,5663-cobra-kais-in,,5
"Cold_Hearts

1,000",2467,43,0,2467-cold-hearts,,5
"Concede La

1,000",5321,43,0,5321-concede-la,,5
"Cone Rulz

1,000",4531,43,0,4531-cone-rulz,,5
"Confidens Victoria

1,000",2941,43,0,2941-confidens-victoria,,5
"Cookies of Doom

1,000",2565,43,0,2565-cookies-of-doom,,5
"cr3ations

1,000",5924,43,0,5924-cr3ations,,5
"Crab Salad

1,000",6041,43,0,6041-crab-salad,,5
"CrazyGaming

1,000",6110,43,0,6110-crazygaming,,5
"CreeperGaming

1,000",3581,43,0,3581-creepergaming,,5
"Crime`Sorciere

1,000",6065,43,0,6065-crime-sorciere,,5
"Critical Online Gamer

1,000",6349,43,0,6349-critical-online-gamer,,5
"Crucial Movement Gaming

1,000",5233,43,0,5233-crucial-movement-gaming,,5
"Crusaders

1,000",5362,43,0,5362-crusaders,,5
"Cyber Protector

1,000",5678,43,0,5678-cyber-protector,,5
"Cyberlab

1,000",5423,43,0,5423-cyberlab,,5
"CyberProGaming

1,000",5319,43,0,5319-cyberprogaming,,5
"cyndaquil

1,000",3432,43,0,3432-cyndaquil,,5
"D20

1,000",2561,43,0,2561-d20,,5
"Daddy's Not Home

1,000",6240,43,0,6240-daddy-s-not-home,,5
"Dafuq

1,000",3664,43,0,3664-dafuq,,5
"Daming Alam Weh

1,000",3313,43,0,3313-daming-alam-weh,,5
"Dangerous player

1,000",6218,43,0,6218-dangerous-player,,5
"Dansk pilsner

1,000",2187,43,0,2187-dansk-pilsner,,5
"Dargaard

1,000",5102,43,0,5102-dargaard,,5
"Dark Industry

1,000",3383,43,0,3383-dark-industry,,5
"Dark Side

1,000",4933,43,0,4933-dark-side,,5
"Dark.Angels

1,000",6454,43,0,6454-dark-angels,,5
"Darkd0ta

1,000",2918,43,0,2918-darkd0ta,,5
"Davao Dota 2 Players Squad

1,000",5177,43,0,5177-davao-dota-2-players-squad,,5
"dd

1,000",2356,43,0,2356-dd,,5
"Dead n Gone

1,000",5979,43,0,5979-dead-n-gone,,5
"Deadly Cancers

1,000",5294,43,0,5294-deadly-cancers,,5
"Deadly Squad>

1,000",6163,43,0,6163-deadly-squad,,5
"DeadMoon

1,000",2429,43,0,2429-deadmoon,,5
"Deaf Killer Team

1,000",2381,43,0,2381-deaf-killer-team,,5
"DeatH

1,000",4912,43,0,4912-death,,5
"Death Division Clan .Infinity

1,000",3721,43,0,3721-death-division-clan-infinity,,5
"Decerto

1,000",3098,43,0,3098-decerto,,5
"DeDe

1,000",1931,43,0,1931-dede,,5
"Defiance eSports

1,000",4337,43,0,4337-defiance-esports,,5
"Del Mondo Gaming

1,000",5270,43,0,5270-del-mondo-gaming,,5
"Delightful art

1,000",3055,43,0,3055-delightful-art,,5
"Demonic Orgasm

1,000",2571,43,0,2571-demonic-orgasm,,5
"Deos Of Gaming

1,000",3869,43,0,3869-deos-of-gaming,,5
"Destiny of Gods

1,000",5779,43,0,5779-destiny-of-gods,,5
"DesvirtusPro

1,000",4001,43,0,4001-desvirtuspro,,5
"Deti..Invalidi

1,000",5246,43,0,5246-deti-invalidi,,5
"Deus Otiosus

1,000",6246,43,0,6246-deus-otiosus,,5
"Devil~May~Cry

1,000",5385,43,0,5385-devil-may-cry,,5
"DGP

1,000",1404,43,0,1404-dgp,,5
"Diamonds

1,000",3331,43,0,3331-diamonds,,5
"Dido, The Elf

1,000",3583,43,0,3583-dido-the-elf,,5
"Digital Destroyers

1,000",3233,43,0,3233-digital-destroyers,,5
"DireWolvesTeam

1,000",4083,43,0,4083-direwolvesteam,,5
"Discovery of the God

1,000",3616,43,0,3616-discovery-of-the-god,,5
"District of the Pain

1,000",4087,43,0,4087-district-of-the-pain,,5
"DividedByZero

1,000",6147,43,0,6147-dividedbyzero,,5
"DnStyle!

1,000",3705,43,0,3705-dnstyle,,5
"Doggy Gaming

1,000",5855,43,0,5855-doggy-gaming,,5
"DomoGeneration

1,000",3670,43,0,3670-domogeneration,,5
"Donkey Lovers

1,000",5394,43,0,5394-donkey-lovers,,5
"Donskoy 71 Region

1,000",6182,43,0,6182-donskoy-71-region,,5
"DontWorry

1,000",2890,43,0,2890-dontworry,,5
"Doom Brothers

1,000",2414,43,0,2414-doom-brothers,,5
"Dot4EveR

1,000",3846,43,0,3846-dot4ever,,5
"Dota 2 Bros

1,000",2141,43,0,2141-dota-2-bros,,5
"Dota Art Gaming

1,000",4538,43,0,4538-dota-art-gaming,,5
"Dota BrotherHood

1,000",2464,43,0,2464-dota-brotherhood,,5
"Dota Dark Hunters

1,000",2514,43,0,2514-dota-dark-hunters,,5
"Dota Kaki

1,000",6219,43,0,6219-dota-kaki,,5
"Dota Monsters

1,000",3909,43,0,3909-dota-monsters,,5
"Dota Pub Champions

1,000",4872,43,0,4872-dota-pub-champions,,5
"DotaFriendBest

1,000",6040,43,0,6040-dotafriendbest,,5
"DotAnonymous

1,000",1657,43,0,1657-dotanonymous,,5
"DovodbI

1,000",5336,43,0,5336-dovodbi,,5
"Draft Five

1,000",4454,43,0,4454-draft-five,,5
"Drag You Down

1,000",3085,43,0,3085-drag-you-down,,5
"Drako.Net - Peru

1,000",6426,43,0,6426-drako-net-peru,,5
"Dream Team

1,000",5365,43,0,5365-dream-team,,5
"DreamTeam

1,000",4357,43,0,4357-dreamteam,,5
"Drink More Beer

1,000",3073,43,0,3073-drink-more-beer,,5
"DRK-Evil Team

1,000",3960,43,0,3960-drk-evil-team,,5
"DROPDEAD!

1,000",5372,43,0,5372-dropdead,,5
"Dybena City

1,000",6072,43,0,6072-dybena-city,,5
"Dynamite Vortex Gamers

1,000",3683,43,0,3683-dynamite-vortex-gamers,,5
"DynamoX

1,000",2738,43,0,2738-dynamox,,5
"DysA

1,000",6332,43,0,6332-dysa,,5
"e-Sports Legion

1,000",3106,43,0,3106-e-sports-legion,,5
"Easiest Game of my Life

1,000",3077,43,0,3077-easiest-game-of-my-life,,5
"EasyGaming

1,000",3359,43,0,3359-easygaming,,5
"echo of Silence

1,000",2295,43,0,2295-echo-of-silence,,5
"Eclipse Gaming

1,000",2822,43,0,2822-eclipse-gaming,,5
"El.Jack

1,000",4363,43,0,4363-el-jack,,5
"Elate

1,000",5788,43,0,5788-elate,,5
"Electric Blackness

1,000",3101,43,0,3101-electric-blackness,,5
"Electric Gaming

1,000",5923,43,0,5923-electric-gaming,,5
"Electronic Frag

1,000",4597,43,0,4597-electronic-frag,,5
"electronic Kwon

1,000",2355,43,0,2355-electronic-kwon,,5
"Elysium

1,000",2806,43,0,2806-elysium,,5
"eMouse Gaming

1,000",5033,43,0,5033-emouse-gaming,,5
"En Taro Russia

1,000",5374,43,0,5374-en-taro-russia,,5
"enGamers

1,000",2308,43,0,2308-engamers,,5
"eoLithic

1,000",5198,43,0,5198-eolithic,,5
"Eosin Killers #kaidota

1,000",5122,43,0,5122-eosin-killers-kaidota,,5
"EpiC

1,000",2063,43,0,2063-epic,,5
"Epic Power Team

1,000",5030,43,0,5030-epic-power-team,,5
"Equestria's Immigrates

1,000",4215,43,0,4215-equestria-s-immigrates,,5
"Equus-Gaming

1,000",2814,43,0,2814-equus-gaming,,5
"Eric

1,000",4936,43,0,4936-eric,,5
"ES4

1,000",6108,43,0,6108-es4,,5
"Escuadrón Táctico Argentino Gundam

1,000",4585,43,0,4585-escuadron-tactico-argentino-gundam,,5
"eSportGame._Colombia

1,000",4147,43,0,4147-esportgame-colombia,,5
"Estatic-gaming

1,000",2965,43,0,2965-estatic-gaming,,5
"ETEC

1,000",3403,43,0,3403-etec,,5
"Eternal Dominate Gaming

1,000",4835,43,0,4835-eternal-dominate-gaming,,5
"Evasion Esports

1,000",5796,43,0,5796-evasion-esports,,5
"Evil Devils

1,000",5199,43,0,5199-evil-devils,,5
"eVolution.INA

1,000",6281,43,0,6281-evolution-ina,,5
"EWZ.Gaming

1,000",4107,43,0,4107-ewz-gaming,,5
"Ex-Convict Gaming

1,000",6221,43,0,6221-ex-convict-gaming,,5
"excello

1,000",3363,43,0,3363-excello,,5
"eXe Tinker

1,000",2497,43,0,2497-exe-tinker,,5
"Exellet

1,000",5714,43,0,5714-exellet,,5
"ExiGe

1,000",3387,43,0,3387-exige,,5
"Exist

1,000",4601,43,0,4601-exist,,5
"Exothermiac

1,000",4398,43,0,4398-exothermiac,,5
"eXper1encE

1,000",2193,43,0,2193-exper1ence,,5
"EXperts In Library Education

1,000",4721,43,0,4721-experts-in-library-education,,5
"ExtacY

1,000",4938,43,0,4938-extacy,,5
"eXtop

1,000",2541,43,0,2541-extop,,5
"eXtreme Squad

1,000",5903,43,0,5903-extreme-squad,,5
"EXTREMIST

1,000",6458,43,0,6458-extremist,,5
"eXXtreme3D

1,000",3058,43,0,3058-exxtreme3d,,5
"ExƎme

1,000",4686,43,0,4686-ex3me,,5
"Eye For Eye

1,000",3240,43,0,3240-eye-for-eye,,5
"eZe Gaming

1,000",2914,43,0,2914-eze-gaming,,5
"f

1,000",2671,43,0,2671-f,,5
"Fabulous 5

1,000",3006,43,0,3006-fabulous-5,,5
"Fack Your Team

1,000",5132,43,0,5132-fack-your-team,,5
"Faith Gaming int

1,000",6336,43,0,6336-faith-gaming-int,,5
"Fallout Rangers

1,000",4485,43,0,4485-fallout-rangers,,5
"FanTa-5

1,000",6213,43,0,6213-fanta-5,,5
"Far From Sanity

1,000",5613,43,0,5613-far-from-sanity,,5
"Fatal

1,000",4612,43,0,4612-fatal,,5
"Fatal Decision

1,000",6195,43,0,6195-fatal-decision,,5
"Fatal Gaming

1,000",3514,43,0,3514-fatal-gaming,,5
"FearLess

1,000",2276,43,0,2276-fearless,,5
"FearUnknown

1,000",5429,43,0,5429-fearunknown,,5
"FEARZ eSports Gaming

1,000",4444,43,0,4444-fearz-esports-gaming,,5
"Feel Good

1,000",5780,43,0,5780-feel-good,,5
"Feeling Pro

1,000",6250,43,0,6250-feeling-pro,,5
"FEROUQE GAMING

1,000",6032,43,0,6032-ferouqe-gaming,,5
"FF

1,000",3413,43,0,3413-ff,,5
"FI_CH

1,000",4804,43,0,4804-fi-ch,,5
"FightForAll

1,000",3444,43,0,3444-fightforall,,5
"Finger is Missing

1,000",4424,43,0,4424-finger-is-missing,,5
"FireProof

1,000",2635,43,0,2635-fireproof,,5
"FirstStandin

1,000",4823,43,0,4823-firststandin,,5
"Five Good Guys

1,000",5717,43,0,5717-five-good-guys,,5
"Five Hungry Men

1,000",5194,43,0,5194-five-hungry-men,,5
"Five Stars

1,000",5787,43,0,5787-five-stars,,5
"Flame4Fame

1,000",2427,43,0,2427-flame4fame,,5
"FLIP PRIDE

1,000",5172,43,0,5172-flip-pride,,5
"Flow Gaming

1,000",2916,43,0,2916-flow-gaming,,5
"FlowerF

1,000",5241,43,0,5241-flowerf,,5
"FLUiT

1,000",3049,43,0,3049-fluit,,5
"Flying Extreme

1,000",3647,43,0,3647-flying-extreme,,5
"Forever Smashing Blow

1,000",6025,43,0,6025-forever-smashing-blow,,5
"FORFIETED

1,000",3893,43,0,3893-forfieted,,5
"ForGlory

1,000",5042,43,0,5042-forglory,,5
"Fortified Genesis

1,000",4854,43,0,4854-fortified-genesis,,5
"Four Friends and Zephy

1,000",2481,43,0,2481-four-friends-and-zephy,,5
"francis

1,000",3244,43,0,3244-francis,,5
"Free Pts

1,000",1817,43,0,1817-free-pts,,5
"FreeWinners

1,000",2340,43,0,2340-freewinners,,5
"Fresh-Meat

1,000",3448,43,0,3448-fresh-meat,,5
"From bottom with love

1,000",5396,43,0,5396-from-bottom-with-love,,5
"FroZens

1,000",3601,43,0,3601-frozens,,5
"fruit

1,000",4790,43,0,4790-fruit,,5
"FT

1,000",5490,43,0,5490-ft,,5
"Fucking Team Rules

1,000",4248,43,0,4248-fucking-team-rules,,5
"fuckyea

1,000",3952,43,0,3952-fuckyea,,5
